league,team_0,team_1,kick_off_epoch,kick_off_timestamp,home_team,bookmaker,odds_0,odds_1,odds_2,odds_0_or,odds_1_or,odds_2_or,bookmaker_margin,stripped_0,stripped_1,stripped_2,target_0,target_1,target_2
Primera División - Argentina,Boca Juniors,Gimnasia La Plata,1613341200,2021-02-14 22:20:00,Boca Juniors,Unibet,1.55,6.5,3.5,0.6451612903225806,0.15384615384615385,0.2857142857142857,1.0847217298830203,0.5947712418300652,0.14183006535947712,0.26339869281045747,1.6813186813186816,7.050691244239632,3.7965260545905712
Primera División - Argentina,Boca Juniors,Gimnasia La Plata,1613341200,2021-02-14 22:20:00,Boca Juniors,888sport,1.55,6.5,3.5,0.6451612903225806,0.15384615384615385,0.2857142857142857,1.0847217298830203,0.5947712418300652,0.14183006535947712,0.26339869281045747,1.6813186813186816,7.050691244239632,3.7965260545905712
Primera División - Argentina,Estudiantes,River Plate,1613349000,2021-02-15 00:30:00,Estudiantes,Unibet,4.9,1.7,3.4,0.2040816326530612,0.5882352941176471,0.29411764705882354,1.0864345738295318,0.1878453038674033,0.5414364640883979,0.2707182320441989,5.3235294117647065,1.8469387755102038,3.6938775510204076
Primera División - Argentina,Estudiantes,River Plate,1613349000,2021-02-15 00:30:00,Estudiantes,888sport,4.9,1.7,3.4,0.2040816326530612,0.5882352941176471,0.29411764705882354,1.0864345738295318,0.1878453038674033,0.5414364640883979,0.2707182320441989,5.3235294117647065,1.8469387755102038,3.6938775510204076
Primera División - Argentina,Estudiantes,River Plate,1613349000,2021-02-15 00:30:00,Estudiantes,1xBet,4.8,1.78,3.62,0.20833333333333334,0.5617977528089888,0.27624309392265195,1.0463741800649742,0.1991002237081165,0.5368994796623366,0.26400029662954677,5.022596064311876,1.862546040515654,3.787874531835206
Primera División - Argentina,Argentinos Juniors,Rosario Central,1613427300,2021-02-15 22:15:00,Rosario Central,Unibet,2.65,2.65,3.0,0.37735849056603776,0.37735849056603776,0.3333333333333333,1.0880503144654088,0.34682080924855496,0.34682080924855496,0.3063583815028902,2.883333333333333,2.883333333333333,3.2641509433962264
Primera División - Argentina,Argentinos Juniors,Rosario Central,1613427300,2021-02-15 22:15:00,Rosario Central,888sport,2.65,2.65,3.0,0.37735849056603776,0.37735849056603776,0.3333333333333333,1.0880503144654088,0.34682080924855496,0.34682080924855496,0.3063583815028902,2.883333333333333,2.883333333333333,3.2641509433962264
Primera División - Argentina,Independiente,Lanus,1613435400,2021-02-16 00:30:00,Independiente,Unibet,2.3,3.0,3.1,0.4347826086956522,0.3333333333333333,0.3225806451612903,1.0906965871902758,0.3986283754822118,0.30561508786969566,0.2957565366480926,2.508602150537634,3.2720897615708275,3.381159420289855
Primera División - Argentina,Independiente,Lanus,1613435400,2021-02-16 00:30:00,Independiente,888sport,2.3,3.0,3.1,0.4347826086956522,0.3333333333333333,0.3225806451612903,1.0906965871902758,0.3986283754822118,0.30561508786969566,0.2957565366480926,2.508602150537634,3.2720897615708275,3.381159420289855
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,Unibet,2.48,2.75,3.5,0.40322580645161293,0.36363636363636365,0.2857142857142857,1.0525764558022623,0.38308457711442784,0.3454726368159204,0.2714427860696517,2.6103896103896105,2.894585253456221,3.6840175953079184
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,Ladbrokes,2.5,2.65,3.4,0.4,0.37735849056603776,0.29411764705882354,1.0714761376248614,0.3733167598922726,0.35218562253987984,0.2744976175678475,2.6786903440621535,2.8394117647058823,3.6430188679245283
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,1xBet,2.49,2.7,3.6,0.4016064257028112,0.37037037037037035,0.2777777777777778,1.0497545738509593,0.38257173219978746,0.3528161530286929,0.2646121147715197,2.613888888888889,2.83433734939759,3.7791164658634533
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,888sport,2.38,2.65,3.35,0.42016806722689076,0.37735849056603776,0.29850746268656714,1.0960340204794956,0.3833531253373637,0.344294505019972,0.27235236964266435,2.6085609687411995,2.904490154270663,3.6717139686063107
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,Bet Victor,2.5,2.75,3.5,0.4,0.36363636363636365,0.2857142857142857,1.0493506493506493,0.38118811881188125,0.34653465346534656,0.2722772277227723,2.623376623376623,2.8857142857142857,3.6727272727272724
A-League,Adelaide United,Central Coast Mariners,1613721900,2021-02-19 08:05:00,Adelaide United,Marathon Bet,2.49,2.7,3.6,0.4016064257028112,0.37037037037037035,0.2777777777777778,1.0497545738509593,0.38257173219978746,0.3528161530286929,0.2646121147715197,2.613888888888889,2.83433734939759,3.7791164658634533
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,Unibet,2.85,2.43,3.45,0.3508771929824561,0.4115226337448559,0.2898550724637681,1.05225489919108,0.33345265795596923,0.3910864506890997,0.2754608913549311,2.9989264626945786,2.556979405034325,3.630279402209226
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,1xBet,2.9,2.4,3.58,0.3448275862068966,0.4166666666666667,0.27932960893854747,1.0408238618121108,0.3313025372098403,0.4003238991285571,0.2683735636616025,3.0183891992551213,2.4979772683490657,3.7261494252873573
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,888sport,2.75,2.35,3.3,0.36363636363636365,0.425531914893617,0.30303030303030304,1.0921985815602837,0.33293978748524206,0.38961038961038963,0.27744982290436837,3.00354609929078,2.5666666666666664,3.604255319148936
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,Bet Victor,2.9,2.4,3.4,0.3448275862068966,0.4166666666666667,0.29411764705882354,1.055611899932387,0.32666132906325057,0.39471577261809443,0.2786228983186549,3.061274509803922,2.5334685598377287,3.5890804597701154
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,Ladbrokes,2.85,2.35,3.35,0.3508771929824561,0.425531914893617,0.29850746268656714,1.0749165705626402,0.32642272208976886,0.39587436508759205,0.27770291282263915,3.0635122261035246,2.5260539408222042,3.6009705113848454
A-League,Macarthur FC,Western United FC,1613801100,2021-02-20 06:05:00,Western United FC,Marathon Bet,2.91,2.38,3.58,0.3436426116838488,0.42016806722689076,0.27932960893854747,1.043140287849287,0.3294308691617693,0.4027915248994742,0.26777760593875655,3.035538237641425,2.482673885081303,3.734442230500448
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Unibet,2.38,2.85,3.55,0.42016806722689076,0.3508771929824561,0.28169014084507044,1.0527354010544174,0.3991202982307343,0.3333004595751395,0.2675792421941261,2.5055102545095136,3.00029589300509,3.737210673743182
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,1xBet,2.48,2.7,3.62,0.40322580645161293,0.37037037037037035,0.27624309392265195,1.0498392707446351,0.3840833713198888,0.3527876892123422,0.2631289394677691,2.603601391446695,2.834566031010515,3.8004181600955786
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,888sport,2.3,2.75,3.4,0.4347826086956522,0.36363636363636365,0.29411764705882354,1.0925366193908395,0.3979570121302405,0.33283677378165566,0.26920621408810386,2.5128342245989304,3.0044757033248084,3.7146245059288536
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Bet Victor,2.5,2.75,3.5,0.4,0.36363636363636365,0.2857142857142857,1.0493506493506493,0.38118811881188125,0.34653465346534656,0.2722772277227723,2.623376623376623,2.8857142857142857,3.6727272727272724
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Ladbrokes,2.45,2.7,3.4,0.4081632653061224,0.37037037037037035,0.29411764705882354,1.0726512827353163,0.3805181347150259,0.34528497409326425,0.27419689119170987,2.627995642701525,2.8961584633853543,3.647014361300075
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Marathon Bet,2.48,2.7,3.62,0.40322580645161293,0.37037037037037035,0.27624309392265195,1.0498392707446351,0.3840833713198888,0.3527876892123422,0.2631289394677691,2.603601391446695,2.834566031010515,3.8004181600955786
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Unibet,2.48,2.7,3.65,0.40322580645161293,0.37037037037037035,0.273972602739726,1.0475687795617092,0.3849158301761513,0.3535523180877241,0.2615318517361247,2.597970573313039,2.828435704816615,3.8236260454002386
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,1xBet,2.4,2.8,3.66,0.4166666666666667,0.35714285714285715,0.27322404371584696,1.0470335675253708,0.3979496738117428,0.34109972041006525,0.26095060577819196,2.51288056206089,2.931693989071038,3.8321428571428577
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,888sport,2.38,2.6,3.5,0.42016806722689076,0.3846153846153846,0.2857142857142857,1.0904977375565612,0.3852993479549496,0.35269709543568456,0.2620035566093657,2.595384615384616,2.8352941176470594,3.8167420814479645
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Bet Victor,2.38,2.88,3.6,0.42016806722689076,0.3472222222222222,0.2777777777777778,1.0451680672268906,0.40201005025125636,0.33221663874930213,0.2657733109994417,2.4874999999999994,3.010084033613445,3.7626050420168062
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Ladbrokes,2.35,2.85,3.45,0.425531914893617,0.3508771929824561,0.2898550724637681,1.0662641803398412,0.3990867579908676,0.32907153729071537,0.27184170471841707,2.505720823798627,3.038852913968548,3.678611422172452
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Marathon Bet,2.38,2.81,3.66,0.42016806722689076,0.35587188612099646,0.27322404371584696,1.049263997063734,0.4004407550461002,0.33916334413157245,0.26039590082232744,2.497248313011687,2.9484318317490925,3.840306229253267
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Unibet,3.95,1.83,3.65,0.2531645569620253,0.5464480874316939,0.273972602739726,1.0735852471334453,0.23581225397609926,0.5089936629538755,0.2551940830700252,4.24066172617711,1.964661002254205,3.9185861520370757
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,888sport,3.85,1.8,3.6,0.2597402597402597,0.5555555555555556,0.2777777777777778,1.093073593073593,0.23762376237623759,0.5082508250825083,0.25412541254125415,4.208333333333334,1.9675324675324675,3.935064935064935
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Paddy Power,3.7,1.85,3.5,0.27027027027027023,0.5405405405405405,0.2857142857142857,1.0965250965250966,0.24647887323943657,0.49295774647887314,0.2605633802816901,4.057142857142858,2.028571428571429,3.837837837837838
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Betclic,3.87,1.89,3.65,0.25839793281653745,0.5291005291005292,0.273972602739726,1.0614710646567926,0.24343379807539617,0.49845968177343036,0.25810652015117347,4.107893020221788,2.0061803122013377,3.8743693859972934
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Marathon Bet,4.05,1.93,3.52,0.2469135802469136,0.5181347150259068,0.2840909090909091,1.0491392043637295,0.23534873086423172,0.4938665077720925,0.27078476136367574,4.249013777673104,2.024838664421998,3.6929699993603275
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Betway,4.0,1.88,3.6,0.25,0.5319148936170213,0.2777777777777778,1.059692671394799,0.2359174567763525,0.501952035694367,0.2621305075292806,4.238770685579196,1.9922222222222223,3.814893617021276
