Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,12/02/2021,19:45,Oud-Heverlee Leuven,Kortrijk,,,,,,,2.9,3.4,2.37,2.65,3.7,2.5,2.75,3.4,2.45,2.79,3.62,2.51,2.7,3.4,2.45,2.8,3.5,2.4,2.9,3.7,2.51,2.73,3.47,2.44,1.7,2.1,1.75,2.14,1.81,2.18,1.74,2.08,0.0,2.05,1.8,2.05,1.85,2.12,1.87,2.04,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/02/2021,15:15,Waasland-Beveren,Eupen,,,,,,,3.5,3.6,2.0,3.5,3.6,2.05,3.2,3.55,2.1,3.34,3.76,2.11,3.2,3.4,2.15,3.4,3.5,2.1,3.5,3.76,2.2,3.27,3.55,2.09,1.8,2.0,1.79,2.07,1.86,2.13,1.8,2.0,0.25,2.05,1.8,2.04,1.84,2.13,1.87,2.03,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/02/2021,17:30,St Truiden,Waregem,,,,,,,2.0,3.5,3.6,2.05,3.6,3.5,2.1,3.45,3.4,2.11,3.53,3.53,2.05,3.4,3.5,2.05,3.4,3.6,2.13,3.62,3.6,2.06,3.48,3.41,1.8,2.0,1.86,1.99,1.92,2.04,1.83,1.95,-0.5,2.02,1.83,2.11,1.78,2.11,1.84,2.07,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/02/2021,19:45,Oostende,Genk,,,,,,,2.5,3.6,2.5,2.55,3.7,2.6,2.5,3.6,2.55,2.53,3.84,2.61,2.6,3.4,2.55,2.55,3.6,2.55,2.64,3.84,2.64,2.51,3.62,2.54,1.65,2.2,1.68,2.22,1.73,2.26,1.67,2.16,0.0,1.9,1.95,1.9,1.97,2.0,2.0,1.91,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/02/2021,12:30,Standard,Antwerp,,,,,,,2.05,3.5,3.6,2.1,3.5,3.5,2.15,3.35,3.35,2.18,3.34,3.55,2.15,3.25,3.4,2.15,3.3,3.4,2.18,3.5,3.6,2.13,3.34,3.37,1.8,2.0,1.84,2.02,1.86,2.07,1.81,1.98,-0.25,1.85,2.0,1.87,2.01,1.9,2.04,1.86,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/02/2021,15:00,Beerschot VA,Mechelen,,,,,,,3.1,3.5,2.25,3.25,3.25,2.3,3.2,3.3,2.2,3.45,3.32,2.23,3.2,3.2,2.25,3.1,3.4,2.25,3.45,3.5,2.33,3.2,3.26,2.22,1.7,2.1,1.72,2.16,1.76,2.19,1.71,2.11,0.25,1.93,1.93,1.96,1.91,1.96,2.03,1.9,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/02/2021,17:15,Charleroi,Club Brugge,,,,,,,5.25,4.0,1.61,5.75,3.6,1.67,5.25,3.65,1.67,5.75,3.66,1.68,5.5,3.6,1.63,5.5,3.8,1.65,5.76,4.0,1.7,5.34,3.65,1.65,1.8,2.0,1.85,2.0,1.85,2.14,1.79,2.0,0.75,2.02,1.83,2.01,1.86,2.08,1.87,2.0,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/02/2021,19:45,Cercle Brugge,Anderlecht,,,,,,,3.8,3.6,1.9,3.9,3.7,1.91,3.6,3.5,2.0,3.67,3.63,2.03,3.9,3.4,1.91,3.8,3.5,1.95,4.0,3.7,2.03,3.7,3.52,1.94,1.85,1.95,1.94,1.91,1.95,2.06,1.86,1.92,0.5,1.88,1.98,1.85,2.03,1.94,2.03,1.86,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,15/02/2021,19:45,Gent,Mouscron,,,,,,,1.5,4.2,6.5,1.55,4.2,6.0,1.53,4.2,6.0,1.5,4.51,6.38,1.5,4.2,6.0,1.53,4.2,6.0,1.55,4.53,6.5,1.5,4.26,5.93,1.72,2.07,1.75,2.12,1.81,2.25,1.72,2.09,-1.0,1.88,1.98,1.87,2.0,1.98,2.03,1.86,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,12/02/2021,19:30,RB Leipzig,Augsburg,,,,,,,1.22,6.5,11.0,1.25,6.0,12.5,1.3,6.0,9.5,1.28,6.11,12.45,1.25,5.8,12.0,1.25,6.0,10.5,1.3,6.5,13.0,1.26,5.97,11.32,1.57,2.37,1.58,2.52,1.61,2.52,1.56,2.41,-1.75,2.05,1.88,2.05,1.88,2.06,1.9,2.01,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
