Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
B1,12/02/2021,19:45,Oud-Heverlee Leuven,Kortrijk,2.9,3.4,2.37,2.65,3.7,2.5,2.75,3.4,2.45,2.79,3.62,2.51,2.7,3.4,2.45,2.8,3.5,2.4,2.9,3.7,2.51,2.73,3.47,2.44
B1,13/02/2021,15:15,Waasland-Beveren,Eupen,3.5,3.6,2.0,3.5,3.6,2.05,3.2,3.55,2.1,3.34,3.76,2.11,3.2,3.4,2.15,3.4,3.5,2.1,3.5,3.76,2.2,3.27,3.55,2.09
B1,13/02/2021,17:30,St Truiden,Waregem,2.0,3.5,3.6,2.05,3.6,3.5,2.1,3.45,3.4,2.11,3.53,3.53,2.05,3.4,3.5,2.05,3.4,3.6,2.13,3.62,3.6,2.06,3.48,3.41
B1,13/02/2021,19:45,Oostende,Genk,2.5,3.6,2.5,2.55,3.7,2.6,2.5,3.6,2.55,2.53,3.84,2.61,2.6,3.4,2.55,2.55,3.6,2.55,2.64,3.84,2.64,2.51,3.62,2.54
B1,14/02/2021,12:30,Standard,Antwerp,2.05,3.5,3.6,2.1,3.5,3.5,2.15,3.35,3.35,2.18,3.34,3.55,2.15,3.25,3.4,2.15,3.3,3.4,2.18,3.5,3.6,2.13,3.34,3.37
B1,14/02/2021,15:00,Beerschot VA,Mechelen,3.1,3.5,2.25,3.25,3.25,2.3,3.2,3.3,2.2,3.45,3.32,2.23,3.2,3.2,2.25,3.1,3.4,2.25,3.45,3.5,2.33,3.2,3.26,2.22
B1,14/02/2021,17:15,Charleroi,Club Brugge,5.25,4.0,1.61,5.75,3.6,1.67,5.25,3.65,1.67,5.75,3.66,1.68,5.5,3.6,1.63,5.5,3.8,1.65,5.76,4.0,1.7,5.34,3.65,1.65
B1,14/02/2021,19:45,Cercle Brugge,Anderlecht,3.8,3.6,1.9,3.9,3.7,1.91,3.6,3.5,2.0,3.67,3.63,2.03,3.9,3.4,1.91,3.8,3.5,1.95,4.0,3.7,2.03,3.7,3.52,1.94
B1,15/02/2021,19:45,Gent,Mouscron,1.5,4.2,6.5,1.55,4.2,6.0,1.53,4.2,6.0,1.5,4.51,6.38,1.5,4.2,6.0,1.53,4.2,6.0,1.55,4.53,6.5,1.5,4.26,5.93
D1,12/02/2021,19:30,RB Leipzig,Augsburg,1.22,6.5,11.0,1.25,6.0,12.5,1.3,6.0,9.5,1.28,6.11,12.45,1.25,5.8,12.0,1.25,6.0,10.5,1.3,6.5,13.0,1.26,5.97,11.32
D1,13/02/2021,14:30,Dortmund,Hoffenheim,1.45,4.8,6.25,1.5,4.4,6.5,1.5,4.9,5.75,1.52,4.77,6.42,1.47,4.6,6.0,1.5,4.8,5.75,1.54,5.13,6.5,1.49,4.71,6.07
D1,13/02/2021,14:30,Leverkusen,Mainz,1.4,5.0,6.5,1.44,4.6,7.0,1.47,4.7,6.25,1.47,4.84,7.29,1.44,4.5,7.0,1.44,4.75,6.5,1.5,5.0,7.32,1.45,4.68,6.7
D1,13/02/2021,14:30,Stuttgart,Hertha,2.15,3.6,3.1,2.25,3.7,3.0,2.25,3.55,3.1,2.27,3.67,3.22,2.25,3.4,3.1,2.25,3.6,3.0,2.34,3.74,3.22,2.25,3.55,3.09
D1,13/02/2021,14:30,Werder Bremen,Freiburg,2.8,3.3,2.45,2.8,3.3,2.55,2.9,3.25,2.5,2.99,3.37,2.56,2.88,3.3,2.45,2.8,3.3,2.5,3.0,3.56,2.67,2.87,3.3,2.51
D1,13/02/2021,17:30,Union Berlin,Schalke 04,1.75,3.6,5.0,1.75,3.75,4.75,1.8,3.6,4.6,1.81,3.72,4.91,1.75,3.6,4.8,1.75,3.75,4.5,1.83,3.75,5.0,1.78,3.63,4.7
D1,14/02/2021,14:30,Ein Frankfurt,FC Koln,1.45,4.5,7.0,1.48,4.5,6.5,1.5,4.6,6.0,1.5,4.61,7.12,1.47,4.2,7.0,1.45,4.6,6.0,1.52,4.69,7.12,1.48,4.47,6.53
D1,14/02/2021,17:00,Wolfsburg,M'gladbach,2.37,3.5,2.9,2.5,3.6,2.7,2.5,3.45,2.8,2.57,3.56,2.84,2.45,3.5,2.75,2.4,3.5,2.7,2.57,3.72,2.91,2.48,3.48,2.8
D1,15/02/2021,19:30,Bayern Munich,Bielefeld,1.1,9.0,21.0,1.15,8.5,16.0,1.17,8.0,15.0,1.17,8.68,15.81,1.15,7.5,17.0,1.13,8.5,15.0,1.19,9.0,21.0,1.16,8.3,15.56
D2,12/02/2021,17:30,Hannover,Paderborn,2.2,3.4,3.2,2.25,3.4,3.2,2.25,3.5,3.05,2.34,3.56,3.13,2.2,3.3,3.2,2.2,3.6,2.9,2.34,3.62,3.3,2.25,3.4,3.07
D2,12/02/2021,17:30,Holstein Kiel,Wurzburger Kickers,1.57,3.75,6.0,1.57,4.0,6.0,1.6,4.1,5.25,1.63,4.13,5.76,1.57,3.9,5.5,1.57,4.2,5.0,1.64,4.24,6.01,1.58,3.99,5.51
D2,13/02/2021,12:00,Hamburg,Greuther Furth,2.0,3.6,3.5,2.05,3.4,3.8,2.0,3.55,3.6,2.04,3.66,3.78,2.05,3.4,3.5,2.0,3.5,3.4,2.08,3.68,3.8,2.01,3.47,3.57
D2,13/02/2021,12:00,Heidenheim,Erzgebirge Aue,1.83,3.6,4.2,1.85,3.6,4.33,1.9,3.55,4.1,1.92,3.6,4.33,1.83,3.5,4.2,1.85,3.6,3.9,1.92,3.72,4.35,1.87,3.51,4.05
D2,13/02/2021,12:00,Regensburg,Fortuna Dusseldorf,3.0,3.3,2.3,3.1,3.3,2.35,3.05,3.35,2.35,3.13,3.48,2.38,3.1,3.25,2.3,2.88,3.3,2.38,3.16,3.48,2.42,3.01,3.3,2.33
D2,13/02/2021,12:00,Sandhausen,Karlsruhe,3.25,3.3,2.2,3.3,3.4,2.2,3.15,3.4,2.25,3.25,3.48,2.31,3.1,3.25,2.25,3.0,3.4,2.25,3.3,3.53,2.31,3.13,3.34,2.23
D2,14/02/2021,12:30,Bochum,Braunschweig,1.57,3.8,6.0,1.57,4.1,6.0,1.6,4.0,5.5,1.6,4.17,6.08,1.6,3.8,5.5,1.6,4.0,5.0,1.65,4.2,6.17,1.59,3.94,5.42
D2,14/02/2021,12:30,Darmstadt,Osnabruck,1.9,3.4,4.0,1.91,3.5,4.1,1.9,3.45,4.1,1.94,3.53,4.34,1.88,3.3,4.2,1.9,3.5,3.8,1.98,3.59,4.37,1.91,3.42,3.99
D2,14/02/2021,12:30,Nurnberg,St Pauli,2.3,3.3,3.0,2.4,3.4,2.95,2.35,3.5,2.9,2.44,3.58,2.95,2.35,3.4,2.88,2.3,3.5,2.8,2.44,3.65,3.0,2.33,3.45,2.87
E0,13/02/2021,12:30,Leicester,Liverpool,3.5,3.4,2.1,3.6,3.5,2.05,3.4,3.45,2.15,3.5,3.53,2.2,3.4,3.4,2.15,3.5,3.5,2.1,3.6,3.66,2.24,3.45,3.49,2.14
E0,13/02/2021,15:00,Crystal Palace,Burnley,2.37,3.1,3.2,2.3,3.2,3.3,2.4,3.05,3.2,2.54,3.18,3.19,2.4,3.1,3.2,2.38,3.1,3.25,2.54,3.32,3.35,2.42,3.11,3.22
E0,13/02/2021,17:30,Man City,Tottenham,1.28,5.75,9.5,1.33,5.5,8.75,1.33,5.25,8.75,1.35,5.91,8.75,1.33,5.5,8.5,1.33,5.5,8.5,1.37,6.1,9.5,1.33,5.56,8.65
E0,13/02/2021,20:00,Brighton,Aston Villa,2.7,3.5,2.5,2.75,3.4,2.55,2.75,3.4,2.55,2.85,3.51,2.59,2.8,3.3,2.55,2.7,3.4,2.6,2.88,3.55,2.64,2.77,3.4,2.56
E0,14/02/2021,12:00,Southampton,Wolves,2.37,3.2,3.1,2.45,3.2,3.0,2.4,3.2,3.1,2.44,3.28,3.25,2.45,3.1,3.1,2.45,3.13,3.1,2.56,3.36,3.28,2.42,3.21,3.12
E0,14/02/2021,14:00,West Brom,Man United,10.0,5.5,1.3,8.5,5.25,1.35,8.75,5.5,1.33,9.65,5.71,1.34,9.5,5.5,1.32,10.0,5.5,1.3,10.0,6.0,1.35,9.19,5.52,1.33
E0,14/02/2021,16:30,Arsenal,Leeds,1.83,3.8,4.0,1.85,3.8,4.0,1.9,3.8,3.85,1.93,3.79,4.1,1.88,3.7,4.0,1.87,3.8,4.0,1.96,3.92,4.11,1.89,3.77,3.98
E0,14/02/2021,19:00,Everton,Fulham,1.85,3.6,4.2,1.9,3.5,4.2,1.95,3.5,4.0,1.96,3.61,4.24,1.91,3.5,4.2,1.91,3.5,4.2,1.98,3.74,4.24,1.93,3.53,4.09
E0,15/02/2021,18:00,West Ham,Sheffield United,1.66,3.75,5.25,1.72,3.75,5.0,1.73,3.65,5.0,1.75,3.82,5.26,1.73,3.7,5.0,1.7,3.7,5.25,1.79,3.9,5.32,1.73,3.74,5.04
E0,15/02/2021,20:00,Chelsea,Newcastle,1.22,6.5,12.0,1.22,6.75,12.0,1.25,6.25,13.0,1.26,6.85,11.46,1.25,6.0,12.0,1.29,5.5,11.5,1.29,6.9,13.75,1.24,6.36,11.97
E1,12/02/2021,19:45,Blackburn,Preston,1.9,3.5,4.0,1.95,3.5,3.9,1.95,3.35,3.9,2.0,3.55,4.06,1.95,3.4,4.0,1.95,3.5,3.9,2.03,3.6,4.06,1.96,3.45,3.91
E1,13/02/2021,12:30,Nott'm Forest,Bournemouth,3.2,3.3,2.3,3.25,3.25,2.3,3.05,3.15,2.35,3.2,3.29,2.43,3.1,3.2,2.38,3.1,3.3,2.3,3.3,3.33,2.49,3.11,3.22,2.35
E1,13/02/2021,15:00,Birmingham,Luton,2.7,3.0,2.87,2.6,3.2,2.85,2.6,3.0,2.85,2.69,3.13,2.97,2.62,3.0,2.88,2.6,3.13,2.88,2.72,3.2,3.0,2.61,3.06,2.86
E1,13/02/2021,15:00,Cardiff,Coventry,2.0,3.4,3.8,2.05,3.4,3.7,2.05,3.3,3.6,2.1,3.46,3.82,2.05,3.3,3.7,2.05,3.3,3.8,2.11,3.55,4.0,2.04,3.36,3.69
E1,13/02/2021,15:00,Derby,Middlesbrough,2.7,3.1,2.8,2.75,3.2,2.7,2.65,3.0,2.7,2.78,3.11,2.88,2.7,3.0,2.8,2.7,3.1,2.8,2.82,3.2,2.92,2.7,3.06,2.77
E1,13/02/2021,15:00,Huddersfield,Wycombe,1.7,3.75,5.0,1.72,3.9,4.75,1.73,3.65,4.6,1.78,3.79,4.91,1.75,3.6,4.8,1.7,3.75,5.0,1.81,3.9,5.05,1.73,3.71,4.72
E1,13/02/2021,15:00,Norwich,Stoke,1.8,3.4,5.0,1.8,3.5,4.75,1.8,3.4,4.6,1.82,3.59,4.98,1.8,3.4,4.75,1.8,3.6,4.5,1.87,3.64,5.03,1.81,3.45,4.64
E1,13/02/2021,15:00,Reading,Millwall,2.2,3.1,3.6,2.25,3.1,3.5,2.25,3.0,3.4,2.32,3.18,3.54,2.25,3.0,3.5,2.25,3.1,3.5,2.35,3.2,3.6,2.26,3.08,3.43
E1,13/02/2021,15:00,Rotherham,QPR,2.6,3.3,2.75,2.75,3.2,2.7,2.55,3.15,2.7,2.67,3.28,2.87,2.6,3.2,2.75,2.55,3.4,2.7,2.76,3.32,2.88,2.62,3.15,2.76
E1,13/02/2021,15:00,Watford,Bristol City,1.6,3.8,6.0,1.65,3.6,6.0,1.6,3.8,5.75,1.61,3.91,6.55,1.6,3.6,6.5,1.6,3.8,6.0,1.65,3.94,6.75,1.6,3.75,5.96
E1,14/02/2021,13:00,Brentford,Barnsley,1.61,3.8,5.75,1.65,3.8,5.5,1.65,3.7,5.5,1.68,3.86,5.7,1.65,3.7,5.5,1.62,3.9,5.25,1.72,4.0,5.88,1.65,3.75,5.39
E2,13/02/2021,15:00,AFC Wimbledon,Rochdale,1.95,3.8,3.6,1.95,3.7,3.5,2.0,3.45,3.4,2.04,3.77,3.52,2.0,3.5,3.4,2.0,3.75,3.5,2.08,3.84,3.6,1.99,3.64,3.44
E2,13/02/2021,15:00,Blackpool,Peterboro,2.55,3.4,2.75,2.45,3.3,2.75,2.45,3.15,2.75,2.5,3.41,2.89,2.45,3.2,2.8,2.55,3.3,2.8,2.58,3.44,2.94,2.48,3.27,2.78
E2,13/02/2021,15:00,Bristol Rvs,Swindon,2.2,3.5,3.2,2.15,3.5,3.1,2.2,3.4,3.0,2.17,3.83,3.15,2.25,3.3,3.0,2.25,3.7,3.0,2.27,3.86,3.25,2.18,3.56,3.05
E2,13/02/2021,15:00,Charlton,Gillingham,1.75,3.75,4.75,1.78,3.5,4.4,1.8,3.5,4.2,1.81,3.76,4.44,1.8,3.5,4.2,1.85,3.75,4.1,1.89,3.82,4.75,1.8,3.62,4.23
E2,13/02/2021,15:00,Hull,Milton Keynes Dons,2.0,3.5,3.75,2.0,3.4,3.6,2.0,3.3,3.5,2.03,3.59,3.71,2.0,3.3,3.6,2.0,3.5,3.7,2.09,3.64,3.75,2.01,3.44,3.56
E2,13/02/2021,15:00,Lincoln,Accrington,1.83,3.75,4.2,1.8,3.6,4.2,1.9,3.35,4.0,1.88,3.54,4.4,1.83,3.25,4.33,1.87,3.5,4.33,1.94,3.75,4.6,1.86,3.46,4.14
E2,13/02/2021,15:00,Northampton,Burton,2.5,3.5,2.75,2.4,3.3,2.85,2.5,3.1,2.75,2.57,3.41,2.81,2.5,3.2,2.75,2.55,3.3,2.8,2.6,3.5,2.89,2.48,3.28,2.77
E2,13/02/2021,15:00,Plymouth,Fleetwood Town,2.55,3.3,2.8,2.5,3.25,2.75,2.5,3.2,2.7,2.55,3.5,2.77,2.5,3.25,2.7,2.6,3.3,2.75,2.6,3.55,2.81,2.5,3.35,2.7
E2,13/02/2021,15:00,Shrewsbury,Ipswich,2.5,3.1,3.0,2.5,3.1,2.9,2.45,2.95,2.95,2.49,3.17,3.11,2.45,3.1,2.9,2.6,3.1,2.9,2.6,3.3,3.19,2.47,3.09,2.93
E2,13/02/2021,15:00,Sunderland,Doncaster,1.95,3.6,3.8,2.0,3.4,3.6,2.0,3.25,3.65,2.01,3.53,3.86,2.0,3.25,3.7,2.0,3.5,3.7,2.09,3.6,3.93,1.99,3.4,3.69
